web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211785-21","https://www.expat-dakar.com/climatisation?page=18","VENTILATEUR SOLSTAR DE TYPE 3EN 1 FA1803
Neuf
Plateau,
Dakar

29. avr., 13:11

29 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/ventilateur-solstar-de-type-3en-1-fa1803-6059125","VENTILATEUR SOLSTAR DE TYPE 3EN 1 FA1803","Neuf","Plateau

Dakar","29 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d4677058d530576bcd827f832968708/-/horizon-files-prod/ed/picture/q0gweprj/506770f309958fcdf53ad30691db5112f65a5ad0.jpg"
"1717211788-22","https://www.expat-dakar.com/climatisation?page=18","Split 9000btu Roch
Neuf
Plateau,
Dakar

29. avr., 15:19

139 900 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/split-9000btu-roch-6059283","Split 9000btu Roch","Neuf","Plateau

Dakar","139 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/efb2025b318f4d385bf80465e424baf9/-/horizon-files-prod/ed/picture/q2jqejqp/d0167201a7620fdca6aa9ccee1a0d261d301175d.jpg"
"1717211791-23","https://www.expat-dakar.com/climatisation?page=18","SPLIT SAMSUNG DOUBLE INVERTER 1.5CV 12000BTU
Neuf
Plateau,
Dakar

29. avr., 23:52

298 000 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/split-samsung-double-inverter-15cv-12000btu-6059505","SPLIT SAMSUNG DOUBLE INVERTER 1.5CV 12000BTU","Neuf","Plateau

Dakar","298 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9a7776d6f5dd94a9df0793ef8fed18ab/-/horizon-files-prod/ed/picture/qngxmg8g/98330c39af7b19bee7b0cb52388839821162e0d8.jpg"
"1717211793-24","https://www.expat-dakar.com/climatisation?page=18","SPLIT SAMSUNG 2.5CV DOUBLE INVERTER 18000BTU
Neuf
Plateau,
Dakar

30. avr., 00:54

419 000 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/split-samsung-25cv-double-inverter-18000btu-6059515","SPLIT SAMSUNG 2.5CV DOUBLE INVERTER 18000BTU","Neuf","Plateau

Dakar","419 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8ff99beef387d4fc63f225b81053d0be/-/horizon-files-prod/ed/picture/qj4r849w/adbf66df53da4d613ffd3e2c3a1d3a8d464ffb90.jpg"
"1717211796-25","https://www.expat-dakar.com/climatisation?page=18","Split Astech 1.25
Neuf
Point-e,
Dakar

30. avr., 13:00

Vendeur vérifié

142 500 F Cfa

775339898","https://www.expat-dakar.com/annonce/split-astech-125-6048842","Split Astech 1.25","Neuf","Point-e

Dakar","142 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a1c410bddcca16977b5a1bf732c7e00/-/horizon-files-prod/ed/picture/qenq4nmx/4d45ee8cb8c09765e03453cf0a4d7febed9086b1.jpg"
"1717211799-26","https://www.expat-dakar.com/climatisation?page=18","VENTILATEUR MURAL DESKA 18"" AVEC TELECOMMANDE
Neuf
Ouakam,
Dakar

1. mai, 12:18

Vendeur vérifié

22 900 F Cfa

25 000 F Cfa

Économisez 8.4%

770521414

709557473","https://www.expat-dakar.com/annonce/ventilateur-mural-deska-18-avec-telecommande-5760490","VENTILATEUR MURAL DESKA 18"" AVEC TELECOMMANDE","Neuf","Ouakam

Dakar","22 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2e22395aefb1a627821f1d7d8d30a5d/-/horizon-files-prod/ed/picture/qv4p5n8x/a200f13bf939b9aa0c30897c51a1f08f4e15c578.jpg"
"1717211802-27","https://www.expat-dakar.com/climatisation?page=18","Ventilateur de coup portable et rechargeable
Neuf
Guediawaye,
Dakar

1. mai, 17:05

8 000 F Cfa

778773684

762972181","https://www.expat-dakar.com/annonce/ventilateur-de-coup-portable-et-rechargeable-6060805","Ventilateur de coup portable et rechargeable","Neuf","Guediawaye

Dakar","8 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7996c20b934a6091ab2656ffef53f634/-/horizon-files-prod/ed/picture/qngxmp0x/41826fe9ea51776c10169cd56786795c6b307d4b.jpg"
"1717211805-28","https://www.expat-dakar.com/climatisation?page=18","SPLIT SAMSUNG AR 12000 BTU AR12TVH INVERTER
Neuf
Colobane,
Dakar

2. mai, 00:01

300 000 F Cfa

776164045","https://www.expat-dakar.com/annonce/split-samsung-ar-12000-btu-ar12tvh-inverter-6054085","SPLIT SAMSUNG AR 12000 BTU AR12TVH INVERTER","Neuf","Colobane

Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3095370fcf098f6cf35d40ead543dd75/-/horizon-files-prod/ed/picture/q56xj8gn/8b5408af003e96fb22be92f22713b8680cf2e2f6.jpg"
"1717211807-29","https://www.expat-dakar.com/climatisation?page=18","SPLIT GREE 12000BTU 1.5CV GAZ 410
Neuf
Plateau,
Dakar

2. mai, 11:01

Vendeur vérifié

220 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/split-gree-12000btu-15cv-gaz-410-5804643","SPLIT GREE 12000BTU 1.5CV GAZ 410","Neuf","Plateau

Dakar","220 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c9a593607374b7ba4086b3be687da7c/-/horizon-files-prod/ed/picture/qzv49dvx/54590fc3dd7beaca90adffdc22fcc2d071739cdc.jpg"
"1717211810-30","https://www.expat-dakar.com/climatisation?page=18","SPLIT SMART TECHNOLOGY 12000BTU GAZ
Neuf
Fass,
Dakar

2. mai, 11:43

159 900 F Cfa

778546592","https://www.expat-dakar.com/annonce/split-smart-technology-12000btu-gaz-6052617","SPLIT SMART TECHNOLOGY 12000BTU GAZ","Neuf","Fass

Dakar","159 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d02bb1f35a632aeaac50ad973e586f15/-/horizon-files-prod/ed/picture/q2jqmgwp/c21f275debaa418d0351b377c4037e45581b9127.jpg"
"1717211817-31","https://www.expat-dakar.com/climatisation?page=17","SPLIT SMART TECHNOLOGY 12000BTU INVERTER
Neuf
Fass,
Dakar

2. mai, 11:47

195 000 F Cfa

778546592","https://www.expat-dakar.com/annonce/split-smart-technology-12000btu-inverter-6061369","SPLIT SMART TECHNOLOGY 12000BTU INVERTER","Neuf","Fass

Dakar","195 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b0dcffd57344f900e56fc984f989065/-/horizon-files-prod/ed/picture/q0gwek5j/4ccf4d6fe33153942b77cc4244c058522d4204df.jpg"
