web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211997-46","https://www.expat-dakar.com/machines-a-laver?page=16","Machine à laver ROCH 9KG Inverter a+++
Neuf
Colobane,
Dakar

4. avr., 23:51

235 000 F Cfa

776164045","https://www.expat-dakar.com/annonce/machine-a-laver-roch-9kg-inverter-a-6041559","Machine à laver ROCH 9KG Inverter a+++","Neuf","Colobane

Dakar","235 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5841db1670912438667174e680c45393/-/horizon-files-prod/ed/picture/qj4rex75/f69bf97c7555706bf07917c922968b0ba59d482f.jpg"
"1717212002-47","https://www.expat-dakar.com/machines-a-laver?page=16","Machine à Laver Deska 8Kgs
Neuf
Plateau,
Dakar

5. avr., 06:24

110 000 F Cfa

776270457

766858780","https://www.expat-dakar.com/annonce/machine-a-laver-deska-8kgs-6040294","Machine à Laver Deska 8Kgs","Neuf","Plateau

Dakar","110 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/a897987c414782a4ec97f3b114556292/-/horizon-files-prod/ed/picture/qwe27rd4/72f2699454a39aeedaacc1f48c0616f012724a38.jpg"
"1717212011-48","https://www.expat-dakar.com/machines-a-laver?page=16","MACHINE A LAVER 15KG SMART TECHNOLOGY SEMI AUTOMATIQUE
Neuf
Plateau,
Dakar

6. avr., 11:35

169 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/machine-a-laver-15kg-smart-technology-semi-automatique-6042550","MACHINE A LAVER 15KG SMART TECHNOLOGY SEMI AUTOMATIQUE","Neuf","Plateau

Dakar","169 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/55bbeb19b0997f0d884a5656540594b0/-/horizon-files-prod/ed/picture/qwe27j9k/30c7be6244baacffeb36c4282a8f439de4af006c.jpg"
"1717212015-49","https://www.expat-dakar.com/machines-a-laver?page=16","MACHINE A LAVER 10KG SMART TECHNOLOGY SEMI AUTOMATIQUE
Neuf
Plateau,
Dakar

6. avr., 12:07

139 000 F Cfa

774714823","https://www.expat-dakar.com/annonce/machine-a-laver-10kg-smart-technology-semi-automatique-6042577","MACHINE A LAVER 10KG SMART TECHNOLOGY SEMI AUTOMATIQUE","Neuf","Plateau

Dakar","139 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/22ab6a77b27396da727f96ed83b259cc/-/horizon-files-prod/ed/picture/qxj2vx9n/500eb9c6a2a8980c2f90f9751d79c1eccf7945ff.jpg"
"1717212087-50","https://www.expat-dakar.com/machines-a-laver?page=14","MACHINE A LAVER SEMI AUTOMATIQUE
Neuf
Mamelles,
Dakar

14. avr., 21:05

771107519

760212621","https://www.expat-dakar.com/annonce/machine-a-laver-semi-automatique-6000554","MACHINE A LAVER SEMI AUTOMATIQUE","Neuf","Mamelles

Dakar","","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bc658a30782c58d312a0891ac42db3e7/-/horizon-files-prod/ed/picture/qrzvk095/e178e89219cdd0ba36adb3273c2d1923f60da7b7.jpg"
"1717212090-51","https://www.expat-dakar.com/machines-a-laver?page=14","MACHINE À LAVER 9KG DESKA SILVER
Neuf
Plateau,
Dakar

15. avr., 02:40

219 000 F Cfa

776096472

776096472","https://www.expat-dakar.com/annonce/machine-a-laver-9kg-deska-silver-6047659","MACHINE À LAVER 9KG DESKA SILVER","Neuf","Plateau

Dakar","219 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e5962f9e98c194b6168ef128478f7342/-/horizon-files-prod/ed/picture/qj4revrd/df2d19702c0b83f67b0da8c7fe155c3a10b27f02.jpg"
"1717212095-52","https://www.expat-dakar.com/machines-a-laver?page=14","Machine à laver inDesit 6kg venant
Venant
Fass,
Dakar

16. avr., 14:02

130 000 F Cfa

778546592","https://www.expat-dakar.com/annonce/machine-a-laver-indesit-6kg-venant-6049093","Machine à laver inDesit 6kg venant","Venant","Fass

Dakar","130 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3a9bb8b444f8e91209e24150c905309/-/horizon-files-prod/ed/picture/qngx6dde/0248c18cb3bcde574f587549e2e22e94d72da183.jpg"
"1717212098-53","https://www.expat-dakar.com/machines-a-laver?page=14","Machine à Laver 8kgs Smart
Neuf
Plateau,
Dakar

16. avr., 17:01

95 000 F Cfa

776270457

766858780","https://www.expat-dakar.com/annonce/machine-a-laver-8kgs-smart-6049252","Machine à Laver 8kgs Smart","Neuf","Plateau

Dakar","95 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1849b5fcb79032f318a043b6645b5ca/-/horizon-files-prod/ed/picture/q8v56zn0/2aeed975590d22a82b129017b1bd762f94395b40.jpg"
"1717212102-54","https://www.expat-dakar.com/machines-a-laver?page=14","MACHINE A LAVER DESKA 7KG A+++ SILVER
Neuf
Plateau,
Dakar

17. avr., 00:00

179 000 F Cfa

770723466","https://www.expat-dakar.com/annonce/machine-a-laver-deska-7kg-a-silver-6049437","MACHINE A LAVER DESKA 7KG A+++ SILVER","Neuf","Plateau

Dakar","179 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/698a8c05354b184d06176396deaf3a3c/-/horizon-files-prod/ed/picture/qj4rkjkz/1cdaa02fe670e7ea12703fa4019c17100b28d00e.jpg"
"1717212105-55","https://www.expat-dakar.com/machines-a-laver?page=14","MACHINE A LAVER DESKA 8KG SEMI AUTOMATIQUE WMT-81 DK
Neuf
Plateau,
Dakar

17. avr., 23:24

115 000 F Cfa

773448645","https://www.expat-dakar.com/annonce/machine-a-laver-deska-8kg-semi-automatique-wmt-81-dk-6050303","MACHINE A LAVER DESKA 8KG SEMI AUTOMATIQUE WMT-81 DK","Neuf","Plateau

Dakar","115 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cbbec078b55a3e55a49451d1a5cfe40f/-/horizon-files-prod/ed/picture/q0gwr7xj/f0b10f0ac116c5127e49e2fa47dc955858268203.jpg"
