web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,adresse,prix,etat,image_lien-src
"1717212257-105","https://www.expat-dakar.com/cuisinieres-fours?page=10","CUISINIERE 5FEUX ASTECH MINUTERIE FULL OPTION INOX 90X60
Neuf
Plateau,
Dakar

9. mai, 02:00

249 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/cuisiniere-5feux-astech-minuterie-full-option-inox-90x60-6066026","CUISINIERE 5FEUX ASTECH MINUTERIE FULL OPTION INOX 90X60","Plateau

Dakar","249 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2db918265ff09031fabe8942bd19d5fc/-/horizon-files-prod/ed/picture/q9m9ez8w/66f1676dc30b8e622670fd6d3063f6d5434f52ee.jpg"
"1717212259-106","https://www.expat-dakar.com/cuisinieres-fours?page=10","Cuisinière 50/50
Neuf
Médina,
Dakar

9. mai, 15:29

85 000 F Cfa

772046033","https://www.expat-dakar.com/annonce/cuisiniere-5050-2744957","Cuisinière 50/50","Médina

Dakar","85 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/61fa7b178ce01ca17ddf063ff1e8bd8d/-/horizon-files-prod/ed/picture/qg0rede/4cf6c5916d5129e87bf31ebe3173092bc74a9ced.jpg"
"1717212260-106","https://www.expat-dakar.com/cuisinieres-fours?page=10","Cuisinière 50/50
Neuf
Médina,
Dakar

9. mai, 15:29

85 000 F Cfa

772046033","https://www.expat-dakar.com/annonce/cuisiniere-5050-2744957","Cuisinière 50/50","Médina

Dakar","85 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/61fa7b178ce01ca17ddf063ff1e8bd8d/-/horizon-files-prod/ed/picture/qg0rede/4cf6c5916d5129e87bf31ebe3173092bc74a9ced.jpg"
"1717212262-107","https://www.expat-dakar.com/cuisinieres-fours?page=10","HOTTE DE CUISINE BEKO ASPIRANT DÉCORANT 60X60 NOIR INCLINE
Neuf
Plateau,
Dakar

17. mars, 00:47

220 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/hotte-de-cuisine-beko-aspirant-decorant-60x60-noir-incline-6023402","HOTTE DE CUISINE BEKO ASPIRANT DÉCORANT 60X60 NOIR INCLINE","Plateau

Dakar","220 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/415a0023f781f093f9391df399ba7cf7/-/horizon-files-prod/ed/picture/qv4err4m/dd31ab4e8da62c225c37c97c9ea6d3876e4dc03e.jpg"
"1717212263-107","https://www.expat-dakar.com/cuisinieres-fours?page=10","HOTTE DE CUISINE BEKO ASPIRANT DÉCORANT 60X60 NOIR INCLINE
Neuf
Plateau,
Dakar

17. mars, 00:47

220 000 F Cfa

772355107","https://www.expat-dakar.com/annonce/hotte-de-cuisine-beko-aspirant-decorant-60x60-noir-incline-6023402","HOTTE DE CUISINE BEKO ASPIRANT DÉCORANT 60X60 NOIR INCLINE","Plateau

Dakar","220 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/415a0023f781f093f9391df399ba7cf7/-/horizon-files-prod/ed/picture/qv4err4m/dd31ab4e8da62c225c37c97c9ea6d3876e4dc03e.jpg"
"1717212265-108","https://www.expat-dakar.com/cuisinieres-fours?page=10","Cuisinière 5 feux
D'occasion
Dieuppeul,
Dakar

10. mai, 11:02

225 000 F Cfa

781952263

338241697","https://www.expat-dakar.com/annonce/cuisiniere-5-feux-6067054","Cuisinière 5 feux","Dieuppeul

Dakar","225 000 F Cfa","D'occasion","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d9e9ccac1bac757dade327679c38ad8/-/horizon-files-prod/ed/picture/qrzvper8/7bc7ecf1c2bb5d42ea06a0d72e57dce2a536d490.jpg"
"1717212266-108","https://www.expat-dakar.com/cuisinieres-fours?page=10","Cuisinière 5 feux
D'occasion
Dieuppeul,
Dakar

10. mai, 11:02

225 000 F Cfa

781952263

338241697","https://www.expat-dakar.com/annonce/cuisiniere-5-feux-6067054","Cuisinière 5 feux","Dieuppeul

Dakar","225 000 F Cfa","D'occasion","https://i.roamcdn.net/hz/ed/listing-thumb-543w/9d9e9ccac1bac757dade327679c38ad8/-/horizon-files-prod/ed/picture/qrzvper8/7bc7ecf1c2bb5d42ea06a0d72e57dce2a536d490.jpg"
"1717212268-109","https://www.expat-dakar.com/cuisinieres-fours?page=10","Plaque cuisson à Gaz SAACHI
Neuf
Plateau,
Dakar

10. mai, 13:49

Vendeur vérifié

65 000 F Cfa

80 000 F Cfa

Économisez 18.8%

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/plaque-cuisson-a-gaz-saachi-5618784","Plaque cuisson à Gaz SAACHI","Plateau

Dakar","80 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/428af675666e5274e16e27c4bb05c3d6/-/horizon-files-prod/ed/picture/qdeexqe0/9237a4076901481afd5fb502a7069ee379171f40.jpg"
"1717212269-109","https://www.expat-dakar.com/cuisinieres-fours?page=10","Plaque cuisson à Gaz SAACHI
Neuf
Plateau,
Dakar

10. mai, 13:49

Vendeur vérifié

65 000 F Cfa

80 000 F Cfa

Économisez 18.8%

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/plaque-cuisson-a-gaz-saachi-5618784","Plaque cuisson à Gaz SAACHI","Plateau

Dakar","80 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/428af675666e5274e16e27c4bb05c3d6/-/horizon-files-prod/ed/picture/qdeexqe0/9237a4076901481afd5fb502a7069ee379171f40.jpg"
"1717212274-110","https://www.expat-dakar.com/cuisinieres-fours?page=9","CUISINER ASTECH 5 FEUX AVEC GRILLE TORNO PROCHE
Neuf
Plateau,
Dakar

vendredi, 11:53

197 900 F Cfa

775267261","https://www.expat-dakar.com/annonce/cuisiner-astech-5-feux-avec-grille-torno-proche-3495670","CUISINER ASTECH 5 FEUX AVEC GRILLE TORNO PROCHE","Plateau

Dakar","197 900 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/35970fda13bfe5a2c7bd3f0aefce3e24/-/horizon-files-prod/ed/picture/q9xp5w8/9be1a785446a119b270035fb89f382d60e124502.jpg"
