details,etat,adresse,prix,image_lien
PROMO CONGÉLATEUR ASTECH HORIZONTAL 160LITRES,Neuf,Plateau Dakar,105000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a1bbade4abde654e19729fff70e8eea/-/horizon-files-prod/ed/picture/q56xmezg/ffa821d67afd0e6a59a3ccf630f95948272829d1.jpg
PROMO CONGÉLATEUR 102LITRES SMART TECHNOLOGY HORIZONTAL,Neuf,Plateau Dakar,99000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/199c26c4db9de8dc6784f22c4b91adc2/-/horizon-files-prod/ed/picture/q6xkgev4/af8eeebf26b29e87034d2769e10c8d8d44d2f93c.jpg
CONGELATEUR HISENS,Neuf,Point-e Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/28f0ce2e78117a788375b718ac13f028/-/horizon-files-prod/ed/picture/q6xkge98/82059b8644f7546041ec0c5d37526e50cbca4e78.jpg
Réfrigérateur Astech 3 Tiroirs,Neuf,VDN Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5544073fd415be5471901561d251d992/-/horizon-files-prod/ed/picture/qq47mmqv/ad95fba2dfaf3cea805d90056223c8a43e99d663.jpg
Congélateur Astech 300 litres,Neuf,VDN Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/71e877751bfd58ad41f6a43a3fcfa49e/-/horizon-files-prod/ed/picture/qxj255dm/39b5574bc7c4b3ec9d26e31d2742139ab4a71f97.jpg
Promo réfrigérateur vertical vitrine pepsi,Neuf,Plateau Dakar,264900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6c68ce57ae157968bdd431397ec55671/-/horizon-files-prod/ed/picture/q785kk5z/e00f9f3910a5f02c6def25786efa3692d733c3e9.jpg
Réfrigérateur 2 porte Candy,Venant,Colobane Dakar,110000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1b61cbaf8452e9b1bf9ad32e510fd3dd/-/horizon-files-prod/ed/picture/q9m9e7q5/67f3f26d1f7f574a8d985c4bd140543df9f8e37d.jpg
Réfrigérateur,D'occasion,Parcelles Assainies Dakar,80000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e7f13e4c5eb42611307253a3431b4b46/-/horizon-files-prod/ed/picture/qngx442z/72f38ff7283377b785b640576984e057dcacee4d.jpg
Congélateur icona horizontal,Neuf,Point-e Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c30f7211b0cdd176a82ffac71b21f71a/-/horizon-files-prod/ed/picture/qngx448g/dc9ce6b5b644ee7d1472507eda3cc1768f26b84f.jpg
Congélateur horizontal smart technologie 400L,Neuf,Point-e Dakar,185000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc3d642f6cd84722e7680cd50213a623/-/horizon-files-prod/ed/picture/q448xxw5/465604405cdf16d61023a1e057f745f7ca9e07ec.jpg
CONGELATEUR SMART TECHNOLOGY,Neuf,Point-e Dakar,205000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd186c90cb81c72b7edfe96c7752e676/-/horizon-files-prod/ed/picture/q9m9ppz0/fa15c06f1b96ce484ec42bb1d7dd6108e9b869db.jpg
CONGELATEUR ELECTRON HORIZONTAL 400L,Neuf,Point-e Dakar,205000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6856ed2256a5e865660175ea3e8e016b/-/horizon-files-prod/ed/picture/qgq9vvr8/21ab85228e98cd62f0f6222fab8e8331a55b9cb8.jpg
CONGELATEUR WHIRLPOOL HORIZONTAL 600L,Neuf,Point-e Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8144c63a654abc4ab1feaf68aa9c67f7/-/horizon-files-prod/ed/picture/q2jq44v2/bfe3077f7fbf7ed4db9cd5a99df16c2e07189011.jpg
Congélateur Beko 600L,Neuf,Ouakam Dakar,360000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c6888b572ad87424eacc94faed433397/-/horizon-files-prod/ed/picture/qzvd77k9/2b1d784b05b1c5eb3fdb4a1dceee956a7fddd467.jpg
CONGELATEUR SMART TECHNOLOGIE VERTICAL,Neuf,Point-e Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/391f9c4c236dfe6deee673a642bc2832/-/horizon-files-prod/ed/picture/q785kkqe/652d53ed722bbdb973b7197f05f4d9a4b9174c6d.jpg
Congélateur vertical Astech,Neuf,Plateau Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5728e26cd534341c113552ec7e3effb5/-/horizon-files-prod/ed/picture/q0gwqqez/a00e1b239dec94d98d2dc51c7b64aa1983a7972c.jpg
Frigo bar Astech,Neuf,Plateau Dakar,1,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dc5619cc83f75961a3f0c53cdc75292c/-/horizon-files-prod/ed/picture/q9m9ppe6/69537491f4c67648b7e1c13fecb234f59a89dde1.jpg
PROMO RÉFRIGÉRATEUR 315LITRES ASTECH COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,289000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1323299beff06cf74170286057a9c26/-/horizon-files-prod/ed/picture/q785kn8n/c4e319ca681d430e73669952317f0d33fd67fbe3.jpg
PROMO RÉFRIGÉRATEUR 399LITRES CAC SIDE BY SIDE 2PORTES,Neuf,Plateau Dakar,429000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bffafa1b6f1c383f69f111cb4d0f11c7/-/horizon-files-prod/ed/picture/qv4e2npm/26de2525e3a056292e419812d63d7f49abe893c9.jpg
PROMO RÉFRIGÉRATEUR 531LITRES CAC SIDE BY SIDE 2PORTES,Neuf,Plateau Dakar,489000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a2b08bd1d51168e4d14d2d9f7369205/-/horizon-files-prod/ed/picture/q9m9p488/2d70c2ec9f7c4e88a80b0758cba275a83346010c.jpg
PROMO RÉFRIGÉRATEUR 295LITRES DAEWOO COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,279000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/517bd722881dc67d17863c2348141635/-/horizon-files-prod/ed/picture/qngx4rdx/f35bd31ce3f9de0fa6b906080c2b278354f57d91.jpg
PROMO RÉFRIGÉRATEUR 295LITRES DAEWOO COMBINÉ 3TIROIRS,Neuf,Plateau Dakar,279000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8456949060f436b41030d9638827cde2/-/horizon-files-prod/ed/picture/qwe2dqzp/f494e14e73aef9c059ee06bea3063677c5788199.jpg
PROMO RÉFRIGÉRATEUR DESKA COMBINÉ 5TIROIRS,Neuf,Plateau Dakar,249000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a33002f78e5083c1ce7be97031edbac5/-/horizon-files-prod/ed/picture/q8v5jqzp/3cb3b6c4b6bd35fa736a632fe4bea7524b4700e4.jpg
PROMO RÉFRIGÉRATEUR 550LITRES ENDURO 2PORTES DEFROST,Neuf,Plateau Dakar,310000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/002b2b361c993d1f4778868c9c6bf62e/-/horizon-files-prod/ed/picture/q448xedr/41b449b34bbaa43b7eae3f3545387af5a549d885.jpg
RÉFRIGÉRATEUR SMART TECHNOLOGY,Neuf,Plateau Dakar,85000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/af66f56b072dfb0a864ef4fbe0341a3a/-/horizon-files-prod/ed/picture/q8v5jqp6/d20043665a7a576a2fd82b465270e442641bc4d0.jpg
Réfrigérateur a vendre,D'occasion,Liberte 2 Dakar,50000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/52c2ff01b43803de619ca460da518c6a/-/horizon-files-prod/ed/picture/qj4rnvmd/691bf769c307cc380440cb2fb719f878d6129859.jpg
frigo astech 2portes 150l a+,Neuf,Ouakam Dakar,140000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9959d97d39efa7501624229c7577b7f9/-/horizon-files-prod/ed/picture/q448xr6r/463588b4bd8d1a3a7ced8be93930830538b3f92c.jpg
vente de frigo congelateur,D'occasion,Bel air Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2115799e1986a73f8800f46b320804ed/-/horizon-files-prod/ed/picture/q2jq4pme/9186c676804996ac80453c4dad242ff3e3992659.jpg
Réfrigérateurs enduro 3 tiroirs ino,Neuf,Mbao Dakar,205000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7403ebf8cd463dce261f6ba6d23fa3ac/-/horizon-files-prod/ed/picture/qv4e8rg5/91d498c0203ff02e8bfacbd2fbc5bc82bdf7cd44.jpg
Congélateur astech 300litres,Neuf,Plateau Dakar,175000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2759b8c1dae9275db27b30137878d983/-/horizon-files-prod/ed/picture/qj4j729d/ab65855c076f66c000412461d117b6c01c888104.jpg
Congélateur smart technology CH 350 silver,Neuf,Plateau Dakar,195000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3632b1a551b1e68d27ab7a06d5adb834/-/horizon-files-prod/ed/picture/qxj6g60m/589d01bef28be25f11248d82812921d2d479bc4c.jpg
vente de frigo congélateur,D'occasion,Bel air Dakar,449999,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dd1fa05d04d4ef1c9940f62f39defa17/-/horizon-files-prod/ed/picture/q6xkg006/297138f3438cb95aa6b2aa58746ab36bddc6b6eb.jpg
Mini frigo à vendre,D'occasion,Ngor Dakar,45000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/143bca3842cc28f05263c5fb10cde5a9/-/horizon-files-prod/ed/picture/qngx4rr0/825d4db3b66bf8b557b02163e87a63b9c7917f08.jpg
Réfrigérateur Enduro combiné 700L,Neuf,Plateau Dakar,590000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cdb39483d100d1ff5773743965977f99/-/horizon-files-prod/ed/picture/qwe2qmzd/d4aaca04af92470cde5b01fbdfbbc0ba8c7f6134.jpg
Réfrigérateur Enduro 2 portes 500L,Neuf,Plateau Dakar,325000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20d92b981cc07cc5ef9f54ae576f5798/-/horizon-files-prod/ed/picture/q6xkgqw4/013e4659c61dfe00d996a6640455e733ad307c0e.jpg
Réfrigérateur Elactron 3 Tiroirs 245L,Neuf,Plateau Dakar,390000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8d7f410317828895b3c296672c069020/-/horizon-files-prod/ed/picture/qwe20xxj/fc871ac3ed8f2587e5a78eac8aad3d910c64f01e.jpg
