details,etat,adresse,prix,image_lien
MACHINE A 7KG INVERTER ASTECH A+++,Neuf,Plateau Dakar,198000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/feec4b1ba5984ce374aa5eb6dc0ece8c/-/horizon-files-prod/ed/picture/qzvd0nrd/7a54202f20e4c4990e0dfeeb115b0f5b578f50b6.jpg
Machine à laver 7 kg inverter,Neuf,Plateau Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9761a71adc07ee81faad3f847b491eba/-/horizon-files-prod/ed/picture/q6xkmwv6/396895485ab99415b9c62cab48d7e34bb1bb7c29.jpg
Une machine à laver,Neuf,Saint-Louis Saint-Louis,160000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd025850bdc79d755996de239de5a8b9/-/horizon-files-prod/ed/picture/q8v5w0e6/6d8dfecd5f72342bda86442daa29799b535630c5.jpg
Machine à laver 9kg inverter,Neuf,Plateau Dakar,239900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/baf5758548de4952c25bb6f882226258/-/horizon-files-prod/ed/picture/qv4e645w/7c5db8f3209735e51afae3a78e46679b113b77b9.jpg
Machine a laver roch 7kg a+++,Neuf,Médina Dakar,179900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/adfb7eb38d742beb7744b57834c91a1c/-/horizon-files-prod/ed/picture/qdekgkxw/c14df8e78a052c0aa211b59d824adeb3ad18d841.jpg
Machine a laver indesit 6kg,Venant,Colobane Dakar,125000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c47bcee376b06ad54aaa757c235dd2b/-/horizon-files-prod/ed/picture/qm5pej6q/7eefc0e31965c9a93f6d36af4ac3e86ce606aa2d.jpg
"Machine à laver Hisense 7,5kg",Neuf,Keur Massar Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9c3311556796a87f00e3adffdd1d7d4a/-/horizon-files-prod/ed/picture/q8v5w9n0/1c7757d9295656e017bb4d78b1d869e4a0d1fb79.jpg
Machine à laver ROCH 9KG Inverter a+++,Neuf,Colobane Dakar,235000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5841db1670912438667174e680c45393/-/horizon-files-prod/ed/picture/qj4rex75/f69bf97c7555706bf07917c922968b0ba59d482f.jpg
Machine à Laver Deska 8Kgs,Neuf,Plateau Dakar,110000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a897987c414782a4ec97f3b114556292/-/horizon-files-prod/ed/picture/qwe27rd4/72f2699454a39aeedaacc1f48c0616f012724a38.jpg
MACHINE A LAVER 15KG SMART TECHNOLOGY SEMI AUTOMATIQUE,Neuf,Plateau Dakar,169000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/55bbeb19b0997f0d884a5656540594b0/-/horizon-files-prod/ed/picture/qwe27j9k/30c7be6244baacffeb36c4282a8f439de4af006c.jpg
MACHINE A LAVER 10KG SMART TECHNOLOGY SEMI AUTOMATIQUE,Neuf,Plateau Dakar,139000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/22ab6a77b27396da727f96ed83b259cc/-/horizon-files-prod/ed/picture/qxj2vx9n/500eb9c6a2a8980c2f90f9751d79c1eccf7945ff.jpg
MACHINE À LAVER 9KG DESKA SILVER,Neuf,Plateau Dakar,219000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e5962f9e98c194b6168ef128478f7342/-/horizon-files-prod/ed/picture/qj4revrd/df2d19702c0b83f67b0da8c7fe155c3a10b27f02.jpg
Machine à laver inDesit 6kg venant,Venant,Fass Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3a9bb8b444f8e91209e24150c905309/-/horizon-files-prod/ed/picture/qngx6dde/0248c18cb3bcde574f587549e2e22e94d72da183.jpg
Machine à Laver 8kgs Smart,Neuf,Plateau Dakar,95000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1849b5fcb79032f318a043b6645b5ca/-/horizon-files-prod/ed/picture/q8v56zn0/2aeed975590d22a82b129017b1bd762f94395b40.jpg
MACHINE A LAVER DESKA 7KG A+++ SILVER,Neuf,Plateau Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/698a8c05354b184d06176396deaf3a3c/-/horizon-files-prod/ed/picture/qj4rkjkz/1cdaa02fe670e7ea12703fa4019c17100b28d00e.jpg
MACHINE A LAVER DESKA 8KG SEMI AUTOMATIQUE WMT-81 DK,Neuf,Plateau Dakar,115000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cbbec078b55a3e55a49451d1a5cfe40f/-/horizon-files-prod/ed/picture/q0gwr7xj/f0b10f0ac116c5127e49e2fa47dc955858268203.jpg
MACHINE À LAVER LG 9Kg SILVER,Neuf,Plateau Dakar,389000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/649546f3f39b9f066c59c2fb3b9df976/-/horizon-files-prod/ed/picture/qv4e8w0j/dc4a30dbb081eb0f0700b767d3f57ccd082df474.jpg
Whirlpool 12kg FRR12451,Venant,Liberte 6 extension Dakar,220000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a4ff01929ddaa93592304f45c9c1b9bf/-/horizon-files-prod/ed/picture/qj4r0x9w/85bf9a7ac1a4e3357d13ca6d9178a95bb952d7bb.jpg
Bosch 7kg A+++,Venant,Liberte 6 extension Dakar,125000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/443b7982af79b30f54be746002f15a13/-/horizon-files-prod/ed/picture/q448k0pp/310dcc5de3d1b82e553d3a2a1b78281e455df900.jpg
MACHINE A LAVER DESKA 7KG SILVER WM-7DK,Neuf,Plateau Dakar,189900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0aa0f0ae5791090113cf001f9d4c34a9/-/horizon-files-prod/ed/picture/q8v56pn9/367278454d4abb9578cee70807cc0cba67a413dd.jpg
Lampadaire 150w,Neuf,Pikine Dakar,22500,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b992a7f9740321ccab123ec50766d55a/-/horizon-files-prod/ed/picture/qdek8260/8c5d100aff97032961cfcafd3f652a278e27c37a.jpg
Machine seche linge Beko a vendre,Neuf,Hann maristes Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d6c2a7fcd11518dd7fca573b077c8420/-/horizon-files-prod/ed/picture/qgq9xdm0/c4fc9a24f7e0c45ca2a133a1512c57be78ab8a90.jpg
Samsung 9kg A+++,Venant,Liberte 6 extension Dakar,165000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3bc0ea138a5da9d90d1de2cc20714732/-/horizon-files-prod/ed/picture/q7852pe5/452176f8a4ca422d7212cc80e42852e582773c07.jpg
MACHINE A LAVER HISENSE 6KG,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6b90247c6ab9325787208449fdbe5196/-/horizon-files-prod/ed/picture/q56xjg56/ec0f0386009061fe173ad53c8305532ae0168aaa.jpg
MACHINE A LAVER DESKA 9KG SILVER WM-09DK,Neuf,Plateau Dakar,229900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/86b5f00cea92cce94f4de7c12b9375ed/-/horizon-files-prod/ed/picture/q7852gdz/cb8449ee118c1c2deac49e703ed8743279b81718.jpg
MACHINE A LAVER ELACTRON 12KG NOIR EL- W1200MVB,Neuf,Plateau Dakar,335000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/feb5c8e255e5c1e6341156835d3d4086/-/horizon-files-prod/ed/picture/qxj2rxzq/747c6ce84cdbcaf63bf24f7d3b8c63bf4adaa826.jpg
MACHINE À LAVER TCL 8KG SILVER,Neuf,Plateau Dakar,219000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e795466f4aea8cedbc90d0cf7bddbdfc/-/horizon-files-prod/ed/picture/qpd6v2rm/e9e92fc1d96f59691a02ebe2337ffbccc4fd87e1.jpg
Machine à laver Candy CS1292DE,Neuf,Point-e Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/951e3c84dc2c185ba6447baa54bbce50/-/horizon-files-prod/ed/picture/qenq47pd/c141283f8b0a4a60996e9264ebfe9a0b9e7880ac.png
Machine à laver,Neuf,Médina Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01517424c2a4c0d5c3dc7f694e1006b1/-/horizon-files-prod/ed/picture/q56xj5k6/b6a88039b90965631ef847e9b1d6077953e01f85.jpg
Machine à laver 7kg LG inverter A++,Venant,Derkle Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5202432aa6ea635effb0ac2f2cea4b75/-/horizon-files-prod/ed/picture/qrzv94pj/5b4778c0f0fad23b191d43395476372249124997.jpg
Machine à laver 7kg,Neuf,Plateau Dakar,190000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f7e23a29b4e8a0b6b25bed5272a7b310/-/horizon-files-prod/ed/picture/qzv4xnwr/1753211e5838798514054b7c9e2fd95260af0c36.jpg
Machine à laver Beko 12kg inverter,Neuf,Ouakam Dakar,380000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c5940a23dbd980e45859664e5c64889/-/horizon-files-prod/ed/picture/qenq4854/26d7088e4a70a81e8353e60dff446b200be2a989.jpg
MACHINE A LAVER TCL 8KG SILVER,Réconditionné,Plateau Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/68b249c646433542131783e400cfedfd/-/horizon-files-prod/ed/picture/qv4e8rd5/e23075d089320bddbdde9ffb96bc2a07b6f98c6b.jpg
Machine à Laver 10kgs Inverter,Neuf,Plateau Dakar,290000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f5aecbdb08aacb07d70cd15ea54fe7a/-/horizon-files-prod/ed/picture/qrzv9wp4/3e7bc9d04f6830b98beaa71ef524a438f4c83f36.jpg
Machine à Laver Astech 7 Kgs,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/89937058c81e969ecdbe25858b44c68f/-/horizon-files-prod/ed/picture/qdewgd22/2872d4a6f83250426af586eef0641743327a292e.jpg
MACHINE A LAVER 8KG TCL SILVER,Neuf,Plateau Dakar,219000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/02224ebca4e84f525d9ded9ab9db4d11/-/horizon-files-prod/ed/picture/q8v566nx/18a762b06c2b8f5caaad318d8b1616efb2adb746.jpg
Machine à laver bosch 7-8 kg,D'occasion,Sacré-cœur Dakar,80000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/017fcf9f17f61d0b632e65b2e8d87f6a/-/horizon-files-prod/ed/picture/qv4e8742/5e6fc0d3a71c59f6df3359b7cbfaf59d5eb30d9c.jpg
MACHINE A LAVER HISENSE 8KG TOP LOAD SILVER,Neuf,Plateau Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b503533911d7ee0e4b4b6b7a9944bdd5/-/horizon-files-prod/ed/picture/q7852k88/31a6f71644330c0ecad856e0fde0c0e20a266004.jpg
Machine à laver SAMSUNG 7kg,Neuf,Plateau Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/04fde788f9652ad3971b440add8ecd37/-/horizon-files-prod/ed/picture/q6x6k8pn/19fa5d93454f2118598614f745cccb800888482b.jpg
Machine à laver,Venant,Gueule-Tapée Dakar,120000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d822e25b7dc612f5597cf7f0afe01a5f/-/horizon-files-prod/ed/picture/qenq0dkd/10f8ce5772739f2fff92f29d61bc62651287993f.jpg
Aspirateur sans sac Harlem Tornado Cyclone,Neuf,Grand-Dakar Dakar,50000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e32165ca21253dd9b9c9760f1be9a074/-/horizon-files-prod/ed/picture/q9m0qdw0/1cc287703aa0b478be11f1519d6c2bc6c50c1545.jpg
Malette de poids 50 kg avec barre,Neuf,Cambérène Dakar,85000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3385115614810dea48d63d1c44bf619c/-/horizon-files-prod/ed/picture/qdekvezw/4d8b9d59c204e1eead62f49983cfcfaefa9c1ec5.jpg
Machine A laver GRUNDIG 6kg A++,Venant,Fass Dakar,134900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/524558dbc0011f88933ba868d71538b2/-/horizon-files-prod/ed/picture/qdekvwz8/6786379e5bb3331048a71933d41c40034e050263.jpg
Mini Machine A Laver Semi-Automatique Portable - 7Kg,Neuf,Castor Dakar,70000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ffcaa81c6e89c79e735ae36166333ff2/-/horizon-files-prod/ed/picture/qpd69xw4/2bc6b2452dca13d4626134fc009dd81d1af9ecea.jpg
FER A REPASSER PHILIPS GC1426 1400W,Neuf,Plateau Dakar,28000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6a15b35938c1c1cdd324980b6f4e7e69/-/horizon-files-prod/ed/picture/qwe2v25m/595b7f398bb4e7e2d4f5b2d3e434ae1431156014.jpg
FER A REPASSER TEFAL 1026 1200W,Neuf,Plateau Dakar,24000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9909148fbd4c162a30b4d1d8f5cc6682/-/horizon-files-prod/ed/picture/q448z8q8/7aac58ed2d6284842db99ab035814fb718be4583.jpg
Machine à laver astech 7kg,Neuf,Plateau Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cfa49d2e122e036796bb178ca5579d9/-/horizon-files-prod/ed/picture/qv4pp795/7c60a71189bced19f377bfbaea1e055507de3335.jpg
Machine A laver 6kg A++,Venant,Colobane Dakar,135000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f4d7141d11be855f782312f658eee765/-/horizon-files-prod/ed/picture/qpd6vkzr/527f360661afefacfd6c2bd2a8eb5f9363cc8d70.jpg
Machine a Laver ENDURO 10KG Inverter Gris Noir,Neuf,Colobane Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4de8f93dd1a5429b9b33839167c7bac0/-/horizon-files-prod/ed/picture/q9m97v5n/c4d51caefb2f0627647788c058b84890303cef08.jpg
MACHINE A LAVER ASTECH 7KG SEMI AUTOMATIQUE BLANC,Neuf,Plateau Dakar,129000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8a8a988f8c88a43db79a82f5e9b072b2/-/horizon-files-prod/ed/picture/qq47j5qv/b39ae2caaf6280cd2533ca6b484fb468fc2a9f36.jpg
Machine à laver Astech ( 7Kg ),Neuf,Plateau Dakar,234000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0946f69d0525e9f57937d2cd07c03335/-/horizon-files-prod/ed/picture/qng5pzkv/12dc4ff4cd29919ef1346d724c20dcbe3db9322d.jpg
Machine à laver,Neuf,Biscuiterie Dakar,230000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a620e6ca5c860fe8b1c81aa0490588b8/-/horizon-files-prod/ed/picture/q8v5e9gr/0c730884cb1b74be95ca55433331591894aa7986.jpg
Machine a laver 6k A++,Venant,Colobane Dakar,135000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e654e7187a2d2e0e6a1ae73589fc8390/-/horizon-files-prod/ed/picture/qrzvpje9/2cba0432b3692c12a9f4768ec2bc3b2b2889411d.jpg
Machine à Laver Bruhm 7 Kgs,Neuf,Plateau Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7838652ec84b07897c293c9e727da252/-/horizon-files-prod/ed/picture/qngxkdwx/cc0fe9247f625ef184b3b62d60399b7fb1d110da.jpg
Machine à laver béko 9kg inverter,Neuf,Mbao Dakar,270000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/030ad52d574a75105b25f201e893e4cd/-/horizon-files-prod/ed/picture/qdek8k47/6bef2176226a142213cb901ab5daca46eaa063ea.jpg
Machine à laver ROCH inverter 9KG,Neuf,VDN Dakar,239900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/891e2367e47f4b058b66a91b7d8cfd15/-/horizon-files-prod/ed/picture/qngx9jem/2c6a3710fbb79386f40e4c21539999b374208f88.jpg
Machine à Laver 9Kg ELACTRON EL-W900MVW,Neuf,Plateau Dakar,280000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7feef7cb83163a9962ef9a7d841747c0/-/horizon-files-prod/ed/picture/q6xk8w9j/9ab1fb39301f00972bd369a06ce6a248e71f2f25.jpg
Machine à laver 7Kg Elactron,Neuf,Plateau Dakar,185000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2c32b7b2fe390b1ca08f08fb817a958c/-/horizon-files-prod/ed/picture/qq47xne4/119a10528103482d0cd58105b2bbe67709002efc.jpg
Machine à laver 7kg,D'occasion,Hann maristes Dakar,100000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dac7c396cdd0e3e628781b915c84822d/-/horizon-files-prod/ed/picture/q2jqe58d/75b44f51612187d95d02451a0c201194d617c1eb.jpg
MACHINE A LAVER 9KG ASTECH INVERTER A+++,Neuf,Plateau Dakar,239000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4331d6992af5ba719d37970eec91d719/-/horizon-files-prod/ed/picture/qgq9nze8/78e7509004d2dacc09ce395c9c08f57c29fb9810.jpg
MACHINE A LAVER 9KG SEMI AUTO,Neuf,Plateau Dakar,105000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f2fd3dd452a693bac14618bf221c4348/-/horizon-files-prod/ed/picture/qzvdn6vr/c0f831548ab62cd2c7978612929a63efb4a13d2c.jpg
Machine a laver roch 6kg a+++,Neuf,Médina Dakar,169900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/de7c0fcf6bd12568f7b0d173dfa65cc6/-/horizon-files-prod/ed/picture/qpd646kp/9edc42035d668b892ec08452099dfb4aa8b1641a.jpg
Machine à laver Westpool 8kg,Neuf,Plateau Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fd506ebbf3148bd5bd56ea2d6ce47724/-/horizon-files-prod/ed/picture/qkrm7qwm/9fd8fc81d294efb444119b30b0cb878fc80c77f3.jpg
Machine à Laver Astech 9kg,Neuf,Plateau Dakar,245000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/42026e036d7c7f5a3863214226307416/-/horizon-files-prod/ed/picture/qv4p78nj/46036a24b8f372272960e9b4276de0fcfdbb2b63.jpg
